"URXUSR.Code.or.Value","URXUSR.Value.Description","URXUSR.Count","URXUSR.Cumulative","URXUSR.Skip.to.Item"
"1.655 to 7565.49","Range of Values",2664,2664,NA
".","Missing",91,2755,NA
