"URDP01LC.Code.or.Value","URDP01LC.Value.Description","URDP01LC.Count","URDP01LC.Cumulative","URDP01LC.Skip.to.Item"
"0","At or above the detection limit",2490,2490,NA
"1","Below lower detection limit",2,2492,NA
".","Missing",102,2594,NA
