"DS2TSELE.Code.or.Value","DS2TSELE.Value.Description","DS2TSELE.Count","DS2TSELE.Cumulative","DS2TSELE.Skip.to.Item"
"0.2 to 100000","Range of Values",941,941,NA
".","Missing",8397,9338,NA
