"SPXBFEV1.Code.or.Value","SPXBFEV1.Value.Description","SPXBFEV1.Count","SPXBFEV1.Cumulative","SPXBFEV1.Skip.to.Item"
"828 to 5470","Range of Values",496,496,NA
".","Missing",7699,8195,NA
