"CIQD112.Code.or.Value","CIQD112.Value.Description","CIQD112.Count","CIQD112.Cumulative","CIQD112.Skip.to.Item"
"5 to 30","Range of Values",19,19,NA
"77","Refuse",1,20,NA
"99","Don't know",10,30,NA
".","Missing",748,778,NA
