"LBXVMCP.Code.or.Value","LBXVMCP.Value.Description","LBXVMCP.Count","LBXVMCP.Cumulative","LBXVMCP.Skip.to.Item"
"0.014 to 33.1","Range of Values",2899,2899,NA
".","Missing",495,3394,NA
