"VTQ210.Code.or.Value","VTQ210.Value.Description","VTQ210.Count","VTQ210.Cumulative","VTQ210.Skip.to.Item"
"1","Yes",1166,1166,NA
"2","No",1572,2738,NA
"7","Refused",0,2738,NA
"9","Don't know",1,2739,NA
".","Missing",708,3447,NA
