"SMD415C.Code.or.Value","SMD415C.Value.Description","SMD415C.Count","SMD415C.Cumulative","SMD415C.Skip.to.Item"
"1","1",142,142,NA
"2","2 or More",28,170,NA
".","Missing",9795,9965,NA
