"PSQ170C.Code.or.Value","PSQ170C.Value.Description","PSQ170C.Count","PSQ170C.Cumulative","PSQ170C.Skip.to.Item"
"1","Yes",3,3,NA
"2","No",17,20,NA
"7","Refused",0,20,NA
"9","Don't know",3,23,NA
".","Missing",98,121,NA
