"LBXTNALA.Code.or.Value","LBXTNALA.Value.Description","LBXTNALA.Count","LBXTNALA.Cumulative","LBXTNALA.Skip.to.Item"
"2.3 to 331","Range of Values",1933,1933,NA
".","Missing",341,2274,NA
