"URXSSF.Code.or.Value","URXSSF.Value.Description","URXSSF.Count","URXSSF.Cumulative","URXSSF.Skip.to.Item"
"0.035","0.035",2389,2389,NA
"0.07","0.07",1,2390,NA
"0.09","0.09",1,2391,NA
".","Missing",221,2612,NA
