"DEX2PSPL.Code.or.Value","DEX2PSPL.Value.Description","DEX2PSPL.Count","DEX2PSPL.Cumulative","DEX2PSPL.Skip.to.Item"
"1","Present",5,5,NA
".","Missing",2987,2992,NA
