"DR2TS080.Code.or.Value","DR2TS080.Value.Description","DR2TS080.Count","DR2TS080.Cumulative","DR2TS080.Skip.to.Item"
"0 to 11.917","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
