"SXQ350.Code.or.Value","SXQ350.Value.Description","SXQ350.Count","SXQ350.Cumulative","SXQ350.Skip.to.Item"
"0 to 180","Range of Values",1441,1441,NA
"77777","Refused",4,1445,NA
"99999","Don't know",1,1446,NA
".","Missing",1839,3285,NA
