"DXXPT21Y.Code.or.Value","DXXPT21Y.Value.Description","DXXPT21Y.Count","DXXPT21Y.Cumulative","DXXPT21Y.Skip.to.Item"
"148.1 to 397.2","Range of Values",3291,3291,NA
".","Missing",417,3708,NA
