"MIAPROXY.Code.or.Value","MIAPROXY.Value.Description","MIAPROXY.Count","MIAPROXY.Cumulative","MIAPROXY.Skip.to.Item"
"1","Yes",57,57,NA
"2","No",6921,6978,NA
".","Missing",2993,9971,NA
