"FSD092.Code.or.Value","FSD092.Value.Description","FSD092.Count","FSD092.Cumulative","FSD092.Skip.to.Item"
"1","Yes",209,209,NA
"2","No",1123,1332,NA
"6","Screened out",2375,3707,NA
"7","Refused",0,3707,NA
"9","Don't know",0,3707,NA
".","Missing",6415,10122,NA
