"DXXPT80Y.Code.or.Value","DXXPT80Y.Value.Description","DXXPT80Y.Count","DXXPT80Y.Cumulative","DXXPT80Y.Skip.to.Item"
"168.3 to 410.9","Range of Values",3263,3263,NA
".","Missing",445,3708,NA
