"BMXSUB.Code.or.Value","BMXSUB.Value.Description","BMXSUB.Count","BMXSUB.Cumulative","BMXSUB.Skip.to.Item"
"2.8 to 44","Range of Values",8110,8110,NA
".","Missing",1840,9950,NA
