"PUD032.Code.or.Value","PUD032.Value.Description","PUD032.Count","PUD032.Cumulative","PUD032.Skip.to.Item"
"1","One time only",965,965,NA
"2","Two or more times",418,1383,NA
".","Missing",8582,9965,NA
