"URXCOXT.Code.or.Value","URXCOXT.Value.Description","URXCOXT.Count","URXCOXT.Cumulative","URXCOXT.Skip.to.Item"
"1.43 to 3520","Range of Values",553,553,NA
".","Missing",2726,3279,NA
