"WHQ500.Code.or.Value","WHQ500.Value.Description","WHQ500.Count","WHQ500.Cumulative","WHQ500.Skip.to.Item"
"1","lose weight,",626,626,""
"2","gain weight,",187,813,"WHQ520"
"3","stay the same weight, or",442,1255,"WHQ520"
"4","not trying to do anything about your weight?",459,1714,"WHQ520"
"7","Refused",0,1714,"WHQ520"
"9","Don't know",1,1715,"WHQ520"
".","Missing",114,1829,""
