"AUXRR251.Code.or.Value","AUXRR251.Value.Description","AUXRR251.Count","AUXRR251.Cumulative","AUXRR251.Skip.to.Item"
"-25 to 77","Range of Values",2752,2752,NA
".","Missing",282,3034,NA
