"DR2TM181.Code.or.Value","DR2TM181.Value.Description","DR2TM181.Count","DR2TM181.Cumulative","DR2TM181.Skip.to.Item"
"0 to 164.17","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
