"URDUP8LC.Code.or.Value","URDUP8LC.Value.Description","URDUP8LC.Count","URDUP8LC.Cumulative","URDUP8LC.Skip.to.Item"
"0","At or above the detection limit",3014,3014,NA
"1","Below lower detection limit",0,3014,NA
".","Missing",265,3279,NA
