"LBXVEC.Code.or.Value","LBXVEC.Value.Description","LBXVEC.Count","LBXVEC.Cumulative","LBXVEC.Skip.to.Item"
"0.0318 to 0.315","Range of Values",3194,3194,NA
".","Missing",295,3489,NA
