"DR1TP182.Code.or.Value","DR1TP182.Value.Description","DR1TP182.Count","DR1TP182.Cumulative","DR1TP182.Skip.to.Item"
"0 to 142.502","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
