"WHQ280A.Code.or.Value","WHQ280A.Value.Description","WHQ280A.Count","WHQ280A.Cumulative","WHQ280A.Skip.to.Item"
"1","personal trainer",86,86,NA
"7","Refused",0,86,NA
"9","Don't know",0,86,NA
".","Missing",6803,6889,NA
