"DRD370OQ.Code.or.Value","DRD370OQ.Value.Description","DRD370OQ.Count","DRD370OQ.Cumulative","DRD370OQ.Skip.to.Item"
"1 to 8","Range of Values",97,97,NA
".","Missing",9241,9338,NA
