"URD1TBLC.Code.or.Value","URD1TBLC.Value.Description","URD1TBLC.Count","URD1TBLC.Cumulative","URD1TBLC.Skip.to.Item"
"0","At or above the detection limit",930,930,NA
"1","Below lower detection limit",1595,2525,NA
".","Missing",87,2612,NA
