"GTDDR1MN.Code.or.Value","GTDDR1MN.Value.Description","GTDDR1MN.Count","GTDDR1MN.Cumulative","GTDDR1MN.Skip.to.Item"
"2 to 103","Range of Values",2283,2283,NA
".","Missing",1032,3315,NA
