"PAQ724t.Code.or.Value","PAQ724t.Value.Description","PAQ724t.Count","PAQ724t.Cumulative","PAQ724t.Skip.to.Item"
"20","SCOOTER RIDING (PROBE: DOES IT HAVE A MOTOR? IF YES, 
      DON'T COUNT)",174,174,NA
".","Missing",9310,9484,NA
