"URDTIME1.Code.or.Value","URDTIME1.Value.Description","URDTIME1.Count","URDTIME1.Cumulative","URDTIME1.Skip.to.Item"
"4 to 1432","Range of Values",6962,6962,NA
".","Missing",859,7821,NA
