"DSQILYCO.Code.or.Value","DSQILYCO.Value.Description","DSQILYCO.Count","DSQILYCO.Cumulative","DSQILYCO.Skip.to.Item"
"33 to 20000","Range of Values",696,696,NA
".","Missing",8421,9117,NA
