"DR1IMOIS.Code.or.Value","DR1IMOIS.Value.Description","DR1IMOIS.Count","DR1IMOIS.Cumulative","DR1IMOIS.Skip.to.Item"
"0 to 13426.56","Range of Values",130698,130698,NA
".","Missing",696,131394,NA
