"DXXNKA.Code.or.Value","DXXNKA.Value.Description","DXXNKA.Count","DXXNKA.Cumulative","DXXNKA.Skip.to.Item"
"2.63 to 8.03","Range of Values",6076,6076,NA
".","Missing",1644,7720,NA
