"AUXLR228.Code.or.Value","AUXLR228.Value.Description","AUXLR228.Count","AUXLR228.Cumulative","AUXLR228.Skip.to.Item"
"-33 to 92","Range of Values",1883,1883,NA
".","Missing",163,2046,NA
