"DXXPT83X.Code.or.Value","DXXPT83X.Value.Description","DXXPT83X.Count","DXXPT83X.Cumulative","DXXPT83X.Skip.to.Item"
"404.8 to 991.4","Range of Values",3291,3291,NA
".","Missing",417,3708,NA
