"DXXANLM.Code.or.Value","DXXANLM.Value.Description","DXXANLM.Count","DXXANLM.Cumulative","DXXANLM.Skip.to.Item"
"793.1 to 10104.3","Range of Values",4694,4694,NA
".","Missing",998,5692,NA
