"DS2IFDFE.Code.or.Value","DS2IFDFE.Value.Description","DS2IFDFE.Count","DS2IFDFE.Cumulative","DS2IFDFE.Skip.to.Item"
"7 to 17000","Range of Values",1539,1539,NA
".","Missing",4237,5776,NA
