"DR2IM161.Code.or.Value","DR2IM161.Value.Description","DR2IM161.Count","DR2IM161.Cumulative","DR2IM161.Skip.to.Item"
"0 to 7.834","Range of Values",131205,131205,NA
".","Missing",946,132151,NA
