"LBDBSESI.Code.or.Value","LBDBSESI.Value.Description","LBDBSESI.Count","LBDBSESI.Cumulative","LBDBSESI.Skip.to.Item"
"1.09 to 9.33","Range of Values",5215,5215,NA
".","Missing",717,5932,NA
