"SSTCAR.Code.or.Value","SSTCAR.Value.Description","SSTCAR.Count","SSTCAR.Cumulative","SSTCAR.Skip.to.Item"
"1","Positive",371,371,NA
"2","Negative",6207,6578,NA
".","Missing",0,6578,NA
