"SXQ292.Code.or.Value","SXQ292.Value.Description","SXQ292.Count","SXQ292.Cumulative","SXQ292.Skip.to.Item"
"1","heterosexual or straight (attracted to women)",1394,1394,NA
"2","homosexual or gay (attracted to men)",16,1410,NA
"3","bisexual (attracted to men and women)",22,1432,NA
"4","Something else, or",1,1433,NA
"5","Not sure?",18,1451,NA
"7","Refused",1,1452,NA
"9","Don't know",10,1462,NA
".","Missing",1937,3399,NA
