"LBDTNALC.Code.or.Value","LBDTNALC.Value.Description","LBDTNALC.Count","LBDTNALC.Cumulative","LBDTNALC.Skip.to.Item"
"0","At or above the detection limit",283,283,NA
"1","Below lower detection limit",1,284,NA
".","Missing",0,284,NA
