"BIXS010K.Code.or.Value","BIXS010K.Value.Description","BIXS010K.Count","BIXS010K.Cumulative","BIXS010K.Skip.to.Item"
"370.17 to 979.06","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
