"PAD020.Code.or.Value","PAD020.Value.Description","PAD020.Count","PAD020.Cumulative","PAD020.Skip.to.Item"
"1","Yes",2318,2318,""
"2","No",4716,7034,"PAQ100"
"3","Unable to do activity",207,7241,"PAQ100"
"7","Refused",1,7242,"PAQ100"
"9","Don't know",0,7242,"PAQ100"
".","Missing",2036,9278,""
