"DR1TS160.Code.or.Value","DR1TS160.Value.Description","DR1TS160.Count","DR1TS160.Cumulative","DR1TS160.Skip.to.Item"
"0 to 80.786","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
