"DS1TVB12.Code.or.Value","DS1TVB12.Value.Description","DS1TVB12.Count","DS1TVB12.Cumulative","DS1TVB12.Skip.to.Item"
"1 to 10000","Range of Values",1944,1944,NA
".","Missing",8309,10253,NA
