"DR2TS180.Code.or.Value","DR2TS180.Value.Description","DR2TS180.Count","DR2TS180.Cumulative","DR2TS180.Skip.to.Item"
"0 to 38.524","Range of Values",8220,8220,NA
".","Missing",1423,9643,NA
