"DR2IS100.Code.or.Value","DR2IS100.Value.Description","DR2IS100.Count","DR2IS100.Cumulative","DR2IS100.Skip.to.Item"
"0 to 2.472","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
