"DRD350C.Code.or.Value","DRD350C.Value.Description","DRD350C.Count","DRD350C.Cumulative","DRD350C.Skip.to.Item"
"1","Yes",143,143,""
"2","No",3556,3699,"DRD350D"
".","Missing",5845,9544,""
