"SMD440.Code.or.Value","SMD440.Value.Description","SMD440.Count","SMD440.Cumulative","SMD440.Skip.to.Item"
"1 to 2","Range of Values",188,188,NA
"3","3 or More",138,326,NA
".","Missing",9639,9965,NA
