"AUXRR210.Code.or.Value","AUXRR210.Value.Description","AUXRR210.Count","AUXRR210.Cumulative","AUXRR210.Skip.to.Item"
"-37 to 75","Range of Values",1772,1772,NA
".","Missing",117,1889,NA
