"DRABF.Code.or.Value","DRABF.Value.Description","DRABF.Count","DRABF.Cumulative","DRABF.Skip.to.Item"
"1","Yes",1768,1768,NA
"2","No",119103,120871,NA
".","Missing",0,120871,NA
