"ACD070.Code.or.Value","ACD070.Value.Description","ACD070.Count","ACD070.Cumulative","ACD070.Skip.to.Item"
"1","United States, except Puerto Rico",507,507,NA
"2","Puerto Rico",44,551,NA
"4","Mexico",1173,1724,NA
"5","Other country",119,1843,NA
"10","El Salvador",35,1878,NA
"77","Refused",0,1878,NA
"99","Don't know",17,1895,NA
".","Missing",5449,7344,NA
