"LBDD04LC.Code.or.Value","LBDD04LC.Value.Description","LBDD04LC.Count","LBDD04LC.Cumulative","LBDD04LC.Skip.to.Item"
"0","At or above the detection limit",296,296,NA
"1","Below lower detection limit",1,297,NA
".","Missing",4,301,NA
