"URXMAAC.Code.or.Value","URXMAAC.Value.Description","URXMAAC.Count","URXMAAC.Cumulative","URXMAAC.Skip.to.Item"
"0.23 to 94.8","Range of Values",2448,2448,NA
".","Missing",157,2605,NA
