"PAQ770.Code.or.Value","PAQ770.Value.Description","PAQ770.Count","PAQ770.Cumulative","PAQ770.Skip.to.Item"
"1","Yes",166,166,NA
"2","No",2084,2250,NA
"7","Refused",0,2250,NA
"9","Don't know",7,2257,NA
".","Missing",7227,9484,NA
