"LBDD07LC.Code.or.Value","LBDD07LC.Value.Description","LBDD07LC.Count","LBDD07LC.Cumulative","LBDD07LC.Skip.to.Item"
"0","detectable result",1562,1562,NA
"1","below detectable limit",289,1851,NA
".","Missing",434,2285,NA
