"DXXOSBMC.Code.or.Value","DXXOSBMC.Value.Description","DXXOSBMC.Count","DXXOSBMC.Cumulative","DXXOSBMC.Skip.to.Item"
"26.15 to 132.96","Range of Values",2135,2135,NA
".","Missing",1573,3708,NA
