"DXXPT81Y.Code.or.Value","DXXPT81Y.Value.Description","DXXPT81Y.Count","DXXPT81Y.Cumulative","DXXPT81Y.Skip.to.Item"
"69.6 to 309.9","Range of Values",3291,3291,NA
".","Missing",417,3708,NA
