"OSQ040aa.Code.or.Value","OSQ040aa.Value.Description","OSQ040aa.Count","OSQ040aa.Cumulative","OSQ040aa.Skip.to.Item"
"1","Under 50 years old, or",48,48,"OSQ025"
"2","50 years old or older?",42,90,""
"7","Refused",0,90,"OSQ025"
"9","Don't know",0,90,"OSQ025"
".","Missing",6128,6218,""
