"AUXRR114.Code.or.Value","AUXRR114.Value.Description","AUXRR114.Count","AUXRR114.Cumulative","AUXRR114.Skip.to.Item"
"-56 to 71","Range of Values",2752,2752,NA
".","Missing",282,3034,NA
